DAY,USER_ADDRESS,BASE_CUMULATIVE_RETURN,PORTFOLIO_RETURN,DAILY_SHARPE_RATIO,TRADER_CLASS,NUMBER_OF_TRADES,UNIQUE_TOKENS_TRADED
2024-07-03 00:00:00.000,0x09dc02dfb7de2b150fe9a2d2ab92cf5767d423f9,-0.952871878,19.799527694,1.300632733,Bad Trader,36,6
2024-09-02 00:00:00.000,0x2eb6ffcfc1591349a1983aad3e80d8fb3cec1df2,9.443217221,1049.012213469,3.530742132,Good Trader,9,4
2024-06-21 00:00:00.000,0x580e4ce9d324426e8e5e2a33298a1d2fd73273a7,27.60554876,2862.153698424,2.276144554,Good Trader,"null","null"
2024-04-08 00:00:00.000,0x448166a91e7bc50d0ac720c2fbed29e0963f5af8,0.00761307299,100.516118516,29.42033242,Average Trader,380,20
2024-08-10 00:00:00.000,0xb8ca7f877391032d9da4c995d64cdab3ecd03efd,-0.4157330521,57.618323928,2.212055128,Bad Trader,"null","null"
2024-11-18 00:00:00.000,0xc723bd563a44940a85e64aa221001d37f30418e4,-0.9999999954,-2.329274347,-0.5256332675,Bad Trader,3,3
2024-10-09 00:00:00.000,0xc65236e35c1e0dc9e2044f6f38c9c3497e95ffa2,-0.213724825,78.630132978,6.771244127,Bad Trader,"null","null"
2024-09-06 00:00:00.000,0xb8ca7f877391032d9da4c995d64cdab3ecd03efd,-0.3887668465,60.314944482,2.223913134,Bad Trader,"null","null"
2024-06-24 00:00:00.000,0x518ded2f413f275d720b199ad9d03a262e35d3b3,-0.5302340957,48.06464874,2.29078487,Bad Trader,"null","null"
2024-05-18 00:00:00.000,0x06015ae5e6a99243aa8761b67c14003ca41a5edf,0.367693787,135.4599858,7.248646066,Good Trader,"null","null"
2024-04-11 00:00:00.000,0xc65236e35c1e0dc9e2044f6f38c9c3497e95ffa2,0.007611953414,100.763810818,201.349034792,Average Trader,"null","null"
